id;numeroVoieUnique;numeroCorde;couleurPrises;cotationReference;cotationAjustee;nomVoie;nomOuvreur;moulinetteOnly;active;dateCreation
r1;01-001;1;jaune;4a;4a;;pro: Valentin;False;True;2026-01-05
r2;01-002;1;blanc;5b;5b;Bicéphale;Rémy/Tom;False;True;2026-01-05
r3;02-003;2;vert;4c;4c;;pro: Valentin;False;True;2026-01-05
r4;02-004;2;noir;5b;5b;Noir c'est noir;Thierry;False;True;2026-01-05
r5;03-005;3;rose;6b+;6b+;;pro: Valentin;False;True;2026-01-05
r6;03-006;3;orange;5c;5c;Orange mécanique;Fabien;False;True;2026-01-05
r7;03-007;3;bleu;6a+;6a+;Le grand bleu;Maxime;False;True;2026-01-05
r8;04-008;4;noir;5a;5a;;pro: Alexis;False;True;2026-01-05
r9;04-009;4;vert;6a;6a;;pro: Valentin;False;True;2026-01-05
r10;04-010;4;blanc;6a+;6a+;;Martin;False;True;2026-01-05
r11;05-011;5;rose;6a;6a;;pro: Valentin;False;True;2026-01-05
r12;05-012;5;bleu;6c;6c;;pro: Sylvain;False;True;2026-01-05
r13;05-013;5;jaune;5c;5c;La pas simlpe;Jean-Marc;False;True;2026-01-05
r14;05-014;5;orange;5c;5c;Le royaume de Salma;Mathias;False;True;2026-01-05
r15;06-015;6;violet;7b;7b;;pro: Sylvain;False;True;2026-01-05
r16;06-016;6;vert;6c;6c;;pro: Sylvain;False;True;2026-01-05
r17;06-017;6;rouge;5c;5c;Vol à la clé;Christopher;False;True;2026-01-05
r18;07-018;7;bleu;5b;5b;;pro: Sylvain;False;True;2026-01-05
r19;07-019;7;orange;6a;6a;;pro: Sylvain;False;True;2026-01-05
r20;07-020;7;blanc;5c;5c;La fin justifie les moyens;David;False;True;2026-01-05
r21;07-021;7;rouge;6a+;6a+;L'ange Rouge;Laurent/M. Ange;False;True;2026-01-05
r22;08-022;8;jaune;6b;6b;;pro: Sylvain;False;True;2026-01-05
r23;08-023;8;rose;5c;5c;;;False;True;2026-01-05
r24;08-024;8;vert;6b+;6b+;BRU Aware (sans fenetre);Thomas;False;True;2026-01-05
r25;08-025;8;violet;6b;6b;Gym Tonic;Laurent;False;True;2026-01-05
r26;09-026;9;orange;6b;6b;;pro: Alexis;False;True;2026-01-05
r27;09-027;9;noir;6b;6b;Couscous;Maxime;False;True;2026-01-05
r28;09-028;9;bleu;6a;6a;Pas une de plus;Maxime;False;True;2026-01-05
r29;10-029;10;rose;5b;5b;;pro: Sylvain;False;True;2026-01-05
r30;10-030;10;blanc;7b;7b;;pro: Sylvain;False;True;2026-01-05
r31;10-031;10;vert;6b+;6b+;;pro: Alexis;False;True;2026-01-05
r32;11-032;11;bleu;6b+;6b+;;pro: Sylvain;False;True;2026-01-05
r33;11-033;11;jaune;7a+;7a+;;pro: Sylvain;False;True;2026-01-05
r34;11-034;11;noir;6a;6a;;pro: Sylvain;False;True;2026-01-05
r35;11-035;11;violet;6c;6c;;Valentin;False;True;2026-01-05
r36;11-036;11;rouge;6a;6a;;Vincent;False;True;2026-01-05
r37;12-037;12;orange;6a+;6a+;;pro: Valentin;False;True;2026-01-05
r38;12-038;12;blanc;6b;6b;;pro: Sylvain;False;True;2026-01-05
r39;12-039;12;vert;5b;5b;Avec le dièdre;Xavier;False;True;2026-01-05
r40;12-040;12;vert;5b;5b;Sans le dièdre;Xavier;False;True;2026-01-05
r41;12-041;12;rouge;5b;5b;;Thierry;False;True;2026-01-05
r42;12-042;12;ocre;5c;5c;;Mathias;False;True;2026-01-05
r43;13-043;13;bleu;6b+;6b+;Boobs;pro: Sylvain;False;True;2026-01-05
r44;13-044;13;rose;5a;5a;;pro: Sylvain;False;True;2026-01-05
r45;13-045;13;jaune;5c;5c;;Thomas;False;True;2026-01-05
r46;14-046;14;vert;5c;5c;;pro: Valentin;False;True;2026-01-05
r47;14-047;14;blanc;5b;5b;Comblanchien;Lucie;False;True;2026-01-05
r48;15-048;15;noir;6a+;6a+;;pro: Alexis;False;True;2026-01-05
r49;15-049;15;orange;5b;5b;;pro: Sylain;False;True;2026-01-05
r50;15-050;15;rose;6b+;6b+;Rose et bien frais;Christopher;False;True;2026-01-05
r51;15-051;15;bleu;6a;6a;Sacrebleu;Christopher;False;True;2026-01-05
r52;15-052;15;rouge;6a+;6a+;;Martin;False;True;2026-01-05
r53;16-053;16;violet;5c;5c;;pro: Alexis;False;True;2026-01-05
r54;16-054;16;jaune;6a;6a;Pas un zeste;Fabien;False;True;2026-01-05
r55;16-055;16;ocre;6a;6a;Duo Dingo;Salma/Fabien;False;True;2026-01-05
r56;17-056;17;bleu;6a;6a;;pro: Alexis;False;True;2026-01-05
r57;17-057;17;vert;5c;5c;La vie en vert;Louis;False;True;2026-01-05
r58;18-058;18;orange;4a;4a;;pro: Alexis;False;True;2026-01-05
r59;18-059;18;blanc;6a;6a;;Benoit;False;True;2026-01-05
r60;19-060;19;vert;4a;4a;;pro: Sylvain;False;True;2026-01-05
r61;19-061;19;rose;6a+;6a+;Pétales;Laurent G;False;True;2026-01-05
r62;20-062;20;jaune;5b;5b;;pro: Valentin;False;True;2026-01-05
r63;20-063;20;violet;4c;4c;Petite fleur;Louis;False;True;2026-01-05
r64;20-064;20;noir;6a;6a;Avec le dièdre;Xavier;False;True;2026-01-05
r65;20-065;20;noir;6a+;6a+;Sans le dièdre;Xavier;False;True;2026-01-05
r66;21-066;21;rouge;6c+;6c+;;pro: Valentin;False;True;2026-01-05
r67;21-067;21;rose;5c;5c;Beubeu;Benoit;False;True;2026-01-05
r68;21-068;21;vert;6a;6a;La main verte;Christopher;False;True;2026-01-05
r69;22-069;22;bleu;5b;5b;;Michel;False;True;2026-01-05
r70;22-070;22;violet;6b;6b;Zig et Zag;Laurent;False;True;2026-01-05
